name,Genus
GCA_000221945.3,Avibacterium
GCA_000413135.1,Pasteurella
GCA_001043155.1,Haemophilus
GCA_001043195.1,Haemophilus
GCA_001043235.1,Haemophilus
GCA_001043275.1,Haemophilus
GCA_001043315.1,Haemophilus
GCA_001043335.1,Haemophilus
GCA_001043355.1,Haemophilus
GCA_001043375.1,Haemophilus
GCA_001043395.1,Haemophilus
GCA_001043415.1,Haemophilus
GCA_001043435.1,Haemophilus
GCA_001043455.1,Haemophilus
GCA_001043475.1,Haemophilus
GCA_001043495.1,Haemophilus
GCA_001542975.1,Pasteurella
GCA_001596395.1,Aggregatibacter
GCF_000006825.1,Pasteurella
GCF_000007945.1,Haemophilus
GCF_000012185.1,Haemophilus
GCF_000015885.1,Actinobacillus
GCF_000016465.1,Haemophilus
GCF_000016485.1,Haemophilus
GCF_000016685.1,Actinobacillus
GCF_000017245.1,Actinobacillus
GCF_000020405.1,Actinobacillus
GCF_000021885.1,Haemophilus
GCF_000027305.1,Haemophilus
GCF_000146265.2,Aggregatibacter
GCF_000153645.1,Mannheimia
GCF_000163475.1,Pasteurella
GCF_000163615.2,Aggregatibacter
GCF_000165525.1,Haemophilus
GCF_000165575.1,Haemophilus
GCF_000167095.1,Actinobacillus
GCF_000169735.1,Haemophilus
GCF_000169755.1,Haemophilus
GCF_000169775.1,Haemophilus
GCF_000169795.1,Haemophilus
GCF_000169815.1,Haemophilus
GCF_000169835.1,Haemophilus
GCF_000169855.1,Haemophilus
GCF_000171475.1,Haemophilus
GCF_000172375.1,Haemophilus
GCF_000172375.2,Haemophilus
GCF_000173315.1,Haemophilus
GCF_000173335.1,Haemophilus
GCF_000174155.1,Actinobacillus
GCF_000175195.1,Actinobacillus
GCF_000175435.1,Haemophilus
GCF_000175455.1,Haemophilus
GCF_000176255.1,Mannheimia
GCF_000176275.1,Mannheimia
GCF_000178495.1,Actinobacillus
GCF_000178515.1,Actinobacillus
GCF_000178535.1,Actinobacillus
GCF_000178555.1,Actinobacillus
GCF_000178575.1,Actinobacillus
GCF_000178595.1,Actinobacillus
GCF_000178615.1,Actinobacillus
GCF_000178635.1,Actinobacillus
GCF_000178655.1,Actinobacillus
GCF_000179275.1,Actinobacillus
GCF_000179295.1,Actinobacillus
GCF_000188255.1,Actinobacillus
GCF_000191405.1,Haemophilus
GCF_000195005.1,Haemophilus
GCF_000197875.1,Haemophilus
GCF_000200475.1,Haemophilus
GCF_000209675.1,Gallibacterium
GCF_000210875.1,Haemophilus
GCF_000210895.1,Haemophilus
GCF_000219315.1,Pasteurella
GCF_000219335.1,Pasteurella
GCF_000221945.1,Avibacterium
GCF_000221945.2,Avibacterium
GCF_000222005.1,Haemophilus
GCF_000222025.1,Haemophilus
GCF_000222045.1,Haemophilus
GCF_000222065.1,Haemophilus
GCF_000222085.1,Haemophilus
GCF_000223275.1,Haemophilus
GCF_000226495.1,Aggregatibacter
GCF_000226495.2,Aggregatibacter
GCF_000226715.1,Aggregatibacter
GCF_000226715.2,Aggregatibacter
GCF_000226735.1,Aggregatibacter
GCF_000226735.2,Aggregatibacter
GCF_000226755.1,Aggregatibacter
GCF_000226775.1,Aggregatibacter
GCF_000226775.2,Aggregatibacter
GCF_000226795.1,Aggregatibacter
GCF_000226795.2,Aggregatibacter
GCF_000226815.1,Aggregatibacter
GCF_000226815.2,Aggregatibacter
GCF_000226835.1,Aggregatibacter
GCF_000226835.2,Aggregatibacter
GCF_000226855.1,Aggregatibacter
GCF_000226855.2,Aggregatibacter
GCF_000231255.1,Aggregatibacter
GCF_000234745.1,Pasteurella
GCF_000238795.1,Haemophilus
GCF_000240985.1,Aggregatibacter
GCF_000240985.2,Aggregatibacter
GCF_000241005.1,Aggregatibacter
GCF_000241005.2,Aggregatibacter
GCF_000241025.1,Aggregatibacter
GCF_000242295.1,Haemophilus
GCF_000255915.1,Pasteurella
GCF_000259485.1,Haemophilus
GCF_000259545.1,Pasteurella
GCF_000259915.1,Aggregatibacter
GCF_000260675.1,Haemophilus
GCF_000261285.1,Haemophilus
GCF_000262245.1,JordanLabGenus
GCF_000262265.1,Haemophilus
GCF_000262285.1,Haemophilus
GCF_000287615.1,Haemophilus
GCF_000291605.1,Pasteurella
GCF_000291625.1,Pasteurella
GCF_000291645.1,Pasteurella
GCF_000295915.1,Actinobacillus
GCF_000296345.1,Pasteurella
GCF_000296345.2,Pasteurella
GCF_000298655.1,Pasteurella
GCF_000298675.1,Pasteurella
GCF_000307145.1,Actinobacillus
GCF_000318155.1,Aggregatibacter
GCF_000332895.1,Aggregatibacter
GCF_000332895.2,Aggregatibacter
GCF_000332915.1,Aggregatibacter
GCF_000332915.2,Aggregatibacter
GCF_000332935.1,Aggregatibacter
GCF_000332935.2,Aggregatibacter
GCF_000332955.1,Aggregatibacter
GCF_000332955.2,Aggregatibacter
GCF_000341635.1,Mannheimia
GCF_000347595.1,Bibersteinia
GCF_000348525.1,Avibacterium
GCF_000349765.1,Mannheimia
GCF_000349785.1,Mannheimia
GCF_000372365.1,Aggregatibacter
GCF_000374285.1,Actinobacillus
GCF_000376645.1,Mannheimia
GCF_000379785.1,Gallibacterium
GCF_000379905.1,Pasteurella
GCF_000409915.1,Pasteurella
GCF_000412015.1,Pasteurella
GCF_000412035.1,Pasteurella
GCF_000412075.1,Pasteurella
GCF_000412105.1,Pasteurella
GCF_000412125.1,Pasteurella
GCF_000413135.1,Pasteurella
GCF_000422095.1,Mannheimia
GCF_000422145.1,Mannheimia
GCF_000427275.1,Mannheimia
GCF_000439395.1,Haemophilus
GCF_000439735.1,Mannheimia
GCF_000442905.1,Avibacterium
GCF_000443085.1,Mannheimia
GCF_000443105.1,Mannheimia
GCF_000443185.1,Mannheimia
GCF_000443205.1,Mannheimia
GCF_000443225.1,Mannheimia
GCF_000444545.1,Haemophilus
GCF_000444565.1,Haemophilus
GCF_000444585.1,Haemophilus
GCF_000444605.1,Haemophilus
GCF_000444625.1,Haemophilus
GCF_000444645.1,Haemophilus
GCF_000444665.1,Haemophilus
GCF_000444685.1,Haemophilus
GCF_000444705.1,Haemophilus
GCF_000464615.1,Gallibacterium
GCF_000464615.2,Gallibacterium
GCF_000465255.1,Haemophilus
GCF_000469095.1,Pasteurella
GCF_000478235.1,Pasteurella
GCF_000478405.1,Haemophilus
GCF_000512395.1,Pasteurella
GCF_000521605.1,Mannheimia
GCF_000521655.1,Mannheimia
GCF_000521685.1,Mannheimia
GCF_000521695.1,Mannheimia
GCF_000521725.1,Bibersteinia
GCF_000521745.1,Bibersteinia
GCF_000521765.1,Bibersteinia
GCF_000558945.1,Haemophilus
GCF_000584935.1,Mannheimia
GCF_000600995.1,Haemophilus
GCF_000621105.1,Mannheimia
GCF_000636035.1,Haemophilus
GCF_000636055.1,Haemophilus
GCF_000636075.1,Haemophilus
GCF_000688815.1,Haemophilus
GCF_000688835.1,Haemophilus
GCF_000688855.1,Haemophilus
GCF_000690655.1,Haemophilus
GCF_000690675.1,Haemophilus
GCF_000698365.1,Haemophilus
GCF_000730685.1,Pasteurella
GCF_000731735.1,Pasteurella
GCF_000731745.1,Pasteurella
GCF_000731865.1,Haemophilus
GCF_000739435.1,Actinobacillus
GCF_000740985.1,Haemophilus
GCF_000742795.1,Haemophilus
GCF_000746485.1,Haemophilus
GCF_000751055.1,Haemophilus
GCF_000752475.1,Haemophilus
