	M19501	M14416	M36557	M08351	M24820	M19107	M04827	M07055	M10364	M11363	M29695	M11955	M29307	M29227	M12084	M10482	M14444	M25147	M29684	M25693	M14002	KR494	M11600	M16690	R2846	M12066	H.pittmaniae	M29400	M21501	M6399	M28853	M28745	M28702	PittEE	M26429	M37982	M19476	M12373	2019	M36606	M16180	F3047	M36605	M37248	M12086	M21639	M10540	M14486	M28801	M10991	M36564	H.massiliensis	M24471	M07572	M10230	M36582	HK386	M11696	NCTC8143	M16386	M21621	M08234	M11818	M12252	M3825	10810	M29331	M23816	M3844	M19080	RdKW20	F3031	M16859	M10210	H.sp._C1	M29197	M11879	H.sputum_genomic	M25364	M28687	M06436	M21127	H.parainfluenzae	H.paraphrohaemolyticus	M15301	M27986	M25342	M27987	PittGG	M16860	M12353	M14079	M14700	M29202	M11900	CGSHiCZ412602	M26026	M12969	M11311	M28888	M28405	M11840	Histophilus_somnus	M29179	86-028NP	M15928	M28770	M09394	M03959	M13539	M07066	M11921	M10178	M05964	M14626	M04828	M29697	M26032	M12178	M04744	M36580	M29658	M3835	M28356	M11908	M29323	R2866
M19501	1.0	0.9301207068153358	0.9306992251556294	0.9297193943465454	0.9300475982634253	0.9450668643765274	0.9278084073401232	0.9272818059141603	0.9301840675193985	0.930833105852013	0.9303278873370115	0.9297514374653799	0.9305556529740229	0.9305303024928132	0.9295775737469878	0.930228826094102	0.9302083916612083	0.9299298489851262	0.929448023973686	0.9293489401629703	0.9304175153204195	0.9272904926492436	0.9305607636146066	0.9449218897598126	0.9306421862447268	0.9295780241262668	0.8707143234652351	0.9301820017948996	0.9422764330238006	0.9300454288254789	0.9299744571587912	0.9304665618538334	0.9297138373560009	0.9305129690959817	0.9307072414910523	0.9303590684602933	0.9466668847212203	0.9296081086199669	0.9300028976808205	0.9306498853341911	0.9302023638100029	0.9301933850466705	0.9303525860036397	0.9299687525959628	0.9300289122351322	0.9428366269259267	0.9274602928124972	0.9275015043410986	0.9306612753575236	0.9303472798326885	0.9282733028606698	0.8766517729822226	0.9302902646528781	0.9300720565790044	0.9303440325222984	0.9307038487126649	0.9459829795040109	0.9295277904774345	0.9298796974138499	0.93503080348633	0.9443408200310401	0.9301139739083722	0.9442135947749375	0.9303642874475548	0.929799393680714	0.9298066731522694	0.9307087369019018	0.9300403974544353	0.9279521569476183	0.9485122922275945	0.9301754204998937	0.9286776711950788	0.9449218897598126	0.9307679665255612	0.9461044083443362	0.9299809793988868	0.9297425969779822	0.8698868660994724	0.8518307281547313	0.9294639224740342	0.9303456374112395	0.9452899524420624	0.8638963550901099	0.8827955148062245	0.9271003918191768	0.9301854112357743	0.9442327478154278	0.9301937209916655	0.9291230312312436	0.9295965662677537	0.9305682429483471	0.9303795191481216	0.9329343870995453	0.9295286346826774	0.9299618572043284	0.9299852805079148	0.9306884936918931	0.9297719933139676	0.9304401621751764	0.9305664935439842	0.9301606620752071	0.9298983566654201	0.8510166504979311	0.9299012705926053	0.9303770342981599	0.93047554871005	0.9299787387580618	0.9301053274466614	0.9303873157312249	0.9295566635954691	0.9274129942921301	0.9308323846429489	0.9282753175385723	0.9300556156093663	0.9304085713164132	0.9303307858957508	0.930724409530638	0.9308401496713071	0.929704407369648	0.9279589791381896	0.9305422517564772	0.9301358570654328	0.9305263804193904	0.9300975673966296	0.9293039579874167	0.9301264586272612	0.930221976935961
M14416	0.9301207068153358	1.0	0.9706693512513754	0.9710731324708031	0.9694603922319264	0.91740980232753	0.9534206794835944	0.9550755954936452	0.9694289153558573	0.970838663183497	0.9697598874981114	0.9700898742032951	0.9693724842757101	0.9700818904327534	0.9694080337566524	0.971091140607986	0.9706082146243229	0.9699201030590914	0.9690022084616391	0.9702594234481977	0.9692582807326552	0.9540358454535717	0.9784367112293292	0.9189081286337933	0.9691688549682027	0.9683159462113284	0.8653117097446876	0.9707731498784352	0.9187604236680483	0.9705371585350003	0.9786171900362414	0.9690143099866085	0.969897086809386	0.9695015981923094	0.9708439183098954	0.9680075967561005	0.919910446950748	0.9684100138948671	0.9976860294205514	0.9706693787846905	0.9698003581095614	0.9657872604542932	0.971522963930946	0.9690231497483391	0.9684818437531745	0.9198559905795446	0.9539522173325241	0.9542945838080514	0.9682905898498558	0.970566963992198	0.9565351495349237	0.8665385026166827	0.9698015940786334	0.9701490281937971	0.969323144613635	0.9705864806947277	0.9198798275134795	0.9687721460839376	0.9697376418297419	0.9167884661989364	0.9171767651439828	0.9707564594321344	0.9192238847507226	0.9689568979636864	0.9709402102837934	0.9704704883452206	0.9705694011167543	0.9696932695690821	0.9552363928120539	0.9235791729439266	0.9696637390109288	0.9664303925007475	0.9189081286337933	0.9787073618964071	0.9269183413677247	0.9704275995886631	0.9704974221020142	0.8680001383827667	0.8555863319156488	0.9690075539029848	0.9701769354566938	0.9199632724497498	0.8749333752065092	0.8840427865909081	0.9521768064295489	0.9699685988873472	0.9190150332907941	0.9699738981050547	0.9688427247849746	0.969877799425439	0.9788253166459551	0.9685847029601349	0.969078765766165	0.969375792239567	0.9701899893803351	0.9696507151122015	0.9707921294390284	0.9705007602806778	0.9696211997838821	0.9786982995438636	0.9701947283023814	0.9686032073895284	0.8445286411507835	0.9713239983266303	0.9701211505996844	0.9700350919211095	0.9704376760402463	0.9714361652231012	0.9700081878556915	0.9693867079972838	0.9542296556998138	0.9800420151114531	0.9530336095174865	0.9708452619708111	0.96964461994077	0.9702894532483431	0.9705983416149672	0.9706350131280378	0.9687533212292977	0.9530530568051868	0.9699458359885715	0.970304621670411	0.9713888081490971	0.9689650574094294	0.970374299443025	0.9674746427279541	0.9694480605704727
M36557	0.9306992251556294	0.9706693512513754	1.0	0.979936652337345	0.9786942308666882	0.917128103244224	0.9537844881662402	0.9542862664309667	0.9855932998612805	0.9728790537030418	0.9813900120701774	0.9788022539491233	0.9725046098493366	0.9726950984334158	0.9772948512496499	0.9711495446270295	0.9779513918764663	0.9703854393468001	0.976472177778599	0.9789602554051176	0.9711982207724111	0.954396072972743	0.9715588939174941	0.9190863473336284	0.972101460534038	0.9712269354482854	0.8635073250585383	0.9815947435623634	0.919061251129221	0.9843923095357596	0.9711259918614378	0.9710044435473577	0.9770542122967852	0.9723861119548901	0.9989391882787328	0.9707185486217019	0.9192792114807731	0.9755890301603114	0.9706767247050568	0.9992629587481637	0.9774157026038144	0.9693335427880468	0.9709467209796669	0.9716098183843406	0.9710996634848428	0.9194819630844328	0.954374465059647	0.9544711073317397	0.970862883918409	0.9735965565924372	0.9580215475511379	0.865006118174088	0.9717104669680302	0.9849092704079986	0.9716187594553707	0.9992775877209177	0.9192192921310474	0.9762466429347795	0.9866519681421868	0.9159674536877871	0.9169578692439271	0.9733310635512905	0.918785075729175	0.9707874507752445	0.9715215931006089	0.9724908932549937	0.9988447163801727	0.9835466948604676	0.9554799533537939	0.9238364402750235	0.9732226190268172	0.9689433043082493	0.9190863473336284	0.9713404036672918	0.9270163632629462	0.9854093006027544	0.9856152138774991	0.8655990635643084	0.8469404317480929	0.9764028866528324	0.9726747631225463	0.9192364580525406	0.8593516953365815	0.8789214925218651	0.9528611585432831	0.9725240879836733	0.9186233602348387	0.9725444343324152	0.9721104942794174	0.9777225723523126	0.9718175252155087	0.9718309105884114	0.9696869920393448	0.9772317787413657	0.9861194347889781	0.9696439610159014	0.9985592493428668	0.9851580709816051	0.972430896071612	0.9718166040606724	0.977554312386313	0.9715527406140779	0.847929481169826	0.9839025440144634	0.9865793884514962	0.9720150405577401	0.9855801193547266	0.9731490099450578	0.9737157878757943	0.9772565280696496	0.9548487833894084	0.9716071068279193	0.9535261841093013	0.9720677650711183	0.9726452964657127	0.972724382774323	0.9988569789767995	0.9983039954955976	0.9703825133378113	0.9532814815776636	0.972484365374869	0.9776591632137038	0.9714953191675177	0.9712983433656525	0.9792190082550162	0.9697783149884771	0.9718923568903933
M08351	0.9297193943465454	0.9710731324708031	0.979936652337345	1.0	0.980646558213414	0.9171982512332417	0.9532378485920178	0.9534836719827653	0.9801779629670045	0.97305321055827	0.9791662413258836	0.9820438800049208	0.9728073181108722	0.9726863895279847	0.9788487057082388	0.97132248007651	0.9807689404803236	0.9702598204325648	0.9790063040560059	0.9820465055265886	0.971722477385246	0.9534539602745681	0.9720212812827831	0.9190720068948943	0.9721643929130425	0.9715703134268703	0.8641432267757283	0.9794505186908697	0.9180653743053727	0.9799211648115425	0.970695263186359	0.970465744808988	0.9803649910765382	0.9727677850031181	0.9800862044757327	0.9713185354175403	0.9189941998729615	0.9784805174142649	0.9711410265200863	0.9798867060300297	0.9794976830503392	0.9692128941543631	0.9710808240962684	0.9727186182030426	0.9714018078349439	0.9185518494330305	0.9535260066864416	0.9534375313790414	0.9713128660151495	0.9737827062093306	0.9569158528027407	0.8665663008597124	0.9721098440893021	0.9801529814979238	0.971977611131898	0.9798915657533287	0.9190743850019745	0.9790242798121003	0.9809986913418475	0.9160656570427694	0.916785552504309	0.9737526865467614	0.918196068940094	0.971320649935229	0.9709715739430614	0.9732573613026542	0.9800190779523761	0.9797820259469036	0.9545022061090487	0.9236302650330818	0.9735754364592866	0.9692919915206797	0.9190720068948943	0.9716023029040227	0.9261933308127933	0.9794738678627052	0.9797945103534815	0.8662270580574188	0.8495913780013993	0.9789493147176118	0.9732317581182671	0.9189520175969282	0.8593503758217265	0.8801785209756914	0.951840602373306	0.9732625535239503	0.9182564957290396	0.9732638712286897	0.9719644160562388	0.9796225434472146	0.972078041499051	0.9724033659194735	0.9695727609292966	0.9788454741354737	0.9801837761803418	0.9693727580260414	0.9801549327473675	0.9795189389347722	0.9728384372709038	0.9721616953629719	0.9807290288808461	0.9723652334982064	0.8469707696975827	0.9803500958215801	0.9806580722597995	0.9719370149343303	0.9798379582031181	0.9738134641974338	0.9740185501320344	0.978877764094876	0.9536795098038	0.9721622214239395	0.9527961334684024	0.9730575837781854	0.973020600747651	0.9732804919283181	0.9797552325611361	0.9801229485958809	0.9704363505101163	0.9528794557301649	0.9726902103411026	0.9809059706584401	0.9715691301278323	0.971950550038555	0.9822808771653897	0.9705809430787323	0.9721756186872117
M24820	0.9300475982634253	0.9694603922319264	0.9786942308666882	0.980646558213414	1.0	0.916965393179187	0.9533619635088952	0.9529046912555806	0.979136609423871	0.9730203849589865	0.9774257261345616	0.9793777375496159	0.9728324691948022	0.9719536994695716	0.9783412578691328	0.9713699072302984	0.9823865287070982	0.9709443769825908	0.9774072439428417	0.9797918661583769	0.9711700329252769	0.9529477065813301	0.9707218148813446	0.9190875981409573	0.9714447256790644	0.9715421032387551	0.8645139028417181	0.97766065962049	0.9182806977940317	0.9789907044512464	0.9698082684347877	0.9703383120090954	0.9775901596255695	0.9714957667531017	0.9787416715058963	0.9714373880802877	0.9187591989185666	0.9770173852616483	0.96914536670444	0.9784758001949512	0.9816356060975181	0.9695526462382109	0.9712389157821498	0.9719584089845797	0.9716036897499746	0.9192022236117977	0.9530653795730286	0.9531133342364393	0.9713679572626882	0.9736715464056439	0.9566610028963307	0.8741388940606963	0.9714434275598762	0.9790637165385541	0.9711984806341782	0.9783836850453824	0.9189555228968653	0.9771384501206435	0.9797571532685525	0.9155387038981899	0.9165201117619556	0.9736764034687357	0.9184948753064953	0.9710741188314785	0.9721402656761619	0.9730869350473247	0.9785149129546106	0.9780226099870267	0.9551756131505378	0.9232662772472773	0.9732303844674872	0.9685308709465102	0.9190409309791332	0.9709404824163889	0.9264049838014308	0.9786599997077867	0.9788695046150185	0.8645475283280396	0.8509198007740821	0.977394202855433	0.9731849219284964	0.9188508668688765	0.8614847776017501	0.88016399743754	0.9525956739286793	0.9731158032824836	0.9184315966166787	0.973132004756059	0.9720353952796371	0.9785288514788235	0.9709360861189963	0.9722579948961684	0.9700557109554937	0.9783653543054366	0.9793930124201612	0.9695563305089132	0.9787843991154067	0.9785949931748787	0.9716830769212585	0.9712051418765169	0.9785562497067398	0.9721389316999582	0.846416600159617	0.9792443493632766	0.9791435906634678	0.9717813019898549	0.9790209084774943	0.9736031452190707	0.9737975828824457	0.9782864553595253	0.9532863275730898	0.9707186902113767	0.9536146398845107	0.9712708554465868	0.9721397652159743	0.9733847427141599	0.9783765682777252	0.9784813407244602	0.9703856319572397	0.9531009353172019	0.9719278560814397	0.9788160381285264	0.9712311378914427	0.9721611935046403	0.9800900407651479	0.9698048049106629	0.9726255332307884
M19107	0.9450668643765274	0.91740980232753	0.917128103244224	0.9171982512332417	0.916965393179187	1.0	0.9133962992899884	0.9132647665808771	0.9171180106869696	0.9178154669557971	0.9173947594008957	0.9171403038191062	0.9171921869692791	0.9169264944837897	0.917168327332452	0.9170200459259948	0.9175093319237464	0.916970515897791	0.9173156908435229	0.9170899003181802	0.9169514620262873	0.9136039971590613	0.9169428455953061	0.9525295066695549	0.917638672976418	0.9166175300029721	0.8771108239509563	0.917420525232983	0.9496422759771892	0.9173546382600977	0.9175416774136291	0.9173005923086222	0.9171755922053192	0.916877510708658	0.917147942969877	0.9169025134713878	0.9554223669361509	0.9176266110265355	0.9168929619489483	0.9171118272923933	0.9167334671972162	0.9174261943031455	0.9177317343049088	0.9164690046011016	0.9170942519787029	0.950212587552543	0.913363552862461	0.9136928740705271	0.9171127486621026	0.9169199086635466	0.914299780562142	0.8694557660033565	0.9168823686670134	0.9169095760419517	0.9169153453986647	0.9170910957514775	0.9551473122386058	0.9172599633491262	0.9174813521883429	0.9411793492503907	0.952950424296561	0.9174409118425736	0.9537312474829551	0.9167158033242168	0.9171531046104893	0.9167537563303739	0.9170793299649067	0.9176941208702637	0.9139436003165077	0.9506341060443135	0.916748772894519	0.9166952723147248	0.9525295066695549	0.916921609640772	0.9410151216835008	0.9174069424914482	0.9167838128752357	0.8783755314149277	0.860690970202314	0.9173028860612471	0.916694571639203	0.9533497652902284	0.8740654571313181	0.8768080896900418	0.9128954999758014	0.9169950927059485	0.9519432073724591	0.9170020414917546	0.9169066088547135	0.9170523510612827	0.9169386635664944	0.9168533705699071	0.9202790564247667	0.9171633370109953	0.9171510326410434	0.9177187834711347	0.9170493604310155	0.9171872401336918	0.9168981595364091	0.9169990990356964	0.9175013615590443	0.9169650783191677	0.8436524913162078	0.9171238816270814	0.9170953007439344	0.9172734126082003	0.9174175987385451	0.9174143755545923	0.917008608037584	0.9171645265429242	0.9132935053724978	0.9169401517169525	0.914150566845608	0.9162933045615923	0.9168311874354579	0.9168471003124635	0.9171029204186102	0.9170902197328737	0.9167275678478239	0.9133037166780144	0.9170159913595465	0.9174910245875074	0.9174874880111605	0.9168686134614004	0.9166782386786422	0.9169894508985754	0.917203465470009
M04827	0.9278084073401232	0.9534206794835944	0.9537844881662402	0.9532378485920178	0.9533619635088952	0.9133962992899884	1.0	0.9694951736932595	0.954140276362623	0.9515579291692107	0.9540705816479291	0.9538559819346021	0.9519973344926804	0.9528504915220156	0.9532387290818103	0.9511575978956245	0.9534150783922181	0.9536561947611188	0.9533845137907924	0.9526607088955856	0.9529822031324786	0.9696114172639256	0.9534901941430132	0.9158349495521803	0.9525543772762017	0.9543100041849772	0.8678031777486819	0.9544157392539182	0.9158557074835805	0.9527586275790711	0.9531300879948394	0.9530003028081072	0.9547362015479351	0.9529703554684636	0.953689778238873	0.9544380064969211	0.9163348233565343	0.9534777358704556	0.9534808914092535	0.9538354182643944	0.9527696526055819	0.948808098076934	0.9524300071243426	0.9536202691025952	0.9548239321188177	0.9163942216741179	0.9696049705023966	0.9699172785750682	0.9545636009627915	0.9505636470463728	0.9671510513034143	0.8666695781290943	0.9532396404806254	0.9526541811530121	0.9532807372150138	0.9537271704276126	0.9163036954893189	0.9535473847747281	0.9532886967239479	0.9127799253764224	0.9147331963370606	0.9497466546046502	0.9153957767566152	0.9543565960285008	0.9537923033201533	0.9511009925247607	0.953666214304959	0.9543826643072242	0.9695216505741688	0.9206081735030492	0.9510684318113064	0.9488029107805835	0.9158349495521803	0.9538103915680285	0.9279825568730384	0.9534696797673298	0.953543761578374	0.8604508647822129	0.8530532894002667	0.9534083590177649	0.9511503433819335	0.9164355240784536	0.8604656764158283	0.8742177896194773	0.9709920367436147	0.950939974121374	0.915745300432003	0.9509196498350921	0.9522882283858505	0.95238605792397	0.9535354555695921	0.953310005898366	0.9517181586497375	0.9532935376188258	0.9530433267332564	0.9537175615568353	0.9537617623096107	0.9536082827531331	0.9529164272342238	0.9535798172262224	0.9538447386422286	0.954573703691231	0.8434250619494208	0.9537826456609159	0.9531875950575067	0.9525523374515592	0.9535688324803023	0.9514252284985573	0.9513484784061228	0.9532733353339542	0.9693335531396146	0.9536011408385631	0.9704419858845355	0.9535356433389571	0.9528568008928378	0.9513049577364954	0.9533214771419605	0.9536415526036575	0.9536843887218861	0.9980887050591226	0.9529029042420863	0.9538545297645906	0.952393057274124	0.9536720124870899	0.9528314320169835	0.9538124461010653	0.9534611596063093
M07055	0.9272818059141603	0.9550755954936452	0.9542862664309667	0.9534836719827653	0.9529046912555806	0.9132647665808771	0.9694951736932595	1.0	0.9548414808350989	0.9521879966515826	0.9543216427672335	0.954326979801756	0.9527543754345207	0.9538135083072478	0.954661067041461	0.9513284622043574	0.9525285457028081	0.9532738119000693	0.9536871227609628	0.9527935732596926	0.9532810030379142	0.9992314991172409	0.9542805916629314	0.915842493959092	0.9533328394548328	0.9545958094961896	0.8662580321155852	0.9552860816621096	0.9169041760816805	0.955142025016483	0.9538637644036593	0.9531899883347824	0.9543759782984608	0.9530967812781702	0.9542062665108985	0.9538486405030648	0.9156005391564074	0.9537633980401107	0.9539344455039086	0.9544643364031071	0.9524353051938446	0.9493727721500358	0.9531008851965305	0.953837989060703	0.9546182058249968	0.9173535676565515	0.9994691552453466	0.9987526374385386	0.9549371328777615	0.9511886420329161	0.9663986035783305	0.8659490788656593	0.9537681617609973	0.9541628847013126	0.9537912315735207	0.9543020064483466	0.915859198924105	0.9539922956772914	0.9546166334637566	0.9124688113736583	0.9146190106177216	0.9503917728903326	0.9153777738000011	0.9546830262459253	0.9539455374471429	0.9528962584871606	0.9542627723295009	0.9547658818489451	0.9692613000860149	0.9202736561096299	0.9514162762762033	0.949369967043267	0.9158475621543765	0.9542583081082104	0.9274227391164132	0.9539529299642922	0.9539596727150775	0.8616609642301711	0.8480551532527414	0.9536534561873197	0.9516408988457744	0.9158047619932204	0.871210287578887	0.8731031145217601	0.9698132416373418	0.9518532421038217	0.9155762208061943	0.9518980252075406	0.9527337053967253	0.9533074791426052	0.9542576796770511	0.9536743900749916	0.952770512971006	0.9546822383033603	0.9547194207868637	0.954240661227731	0.9543024890155872	0.9541747543924798	0.9530885634315729	0.9542135068473384	0.9537253757045233	0.9545341820793459	0.8426708652098567	0.9542450788825495	0.954841944089509	0.9532259541965575	0.9540623061552267	0.9521059978018052	0.9515315649032037	0.9547984426873991	0.9972805693770452	0.9542534817087801	0.9683920586615387	0.9537899269654841	0.9529846466291605	0.9519961182148708	0.9542173788244184	0.9541356287180554	0.9545131031300196	0.9693486215476873	0.953842873765638	0.9537380593294048	0.9531142888438443	0.9549440603855427	0.952900881596821	0.9535755282082652	0.9552087559326298
M10364	0.9301840675193985	0.9694289153558573	0.9855932998612805	0.9801779629670045	0.979136609423871	0.9171180106869696	0.954140276362623	0.9548414808350989	1.0	0.9726947120626365	0.9834733513876863	0.9802289936159054	0.9720061938131381	0.9716602407266629	0.9790253844315726	0.9711287319170173	0.9786151464587465	0.9694379446734211	0.9772076265560781	0.9802905568474571	0.9710784371850358	0.9547553259080455	0.9701757604152914	0.9191094692684926	0.9723135691550705	0.9711149752147779	0.863656845320049	0.9835083242700577	0.9193983335918156	0.9890922846348693	0.9706506228547187	0.9709210039679989	0.9789752643282437	0.971240779642651	0.9857832699321014	0.9707875848679389	0.9190620335509168	0.9766931694233497	0.9692855659914168	0.9854633279927589	0.9787533486753816	0.9689673137069773	0.970699274050194	0.971605616126755	0.9706602874820717	0.9197139436566528	0.9549125832291042	0.9551420657667749	0.9708093163615955	0.9738283781624821	0.9581270230997263	0.864944042826733	0.9713707492109747	0.9887960625360649	0.9713758160364869	0.9854459981891281	0.9193603717223455	0.9768028182445817	0.9925200431812354	0.9159625243607876	0.9167537300736122	0.9730977307886075	0.9186127337060067	0.9709341781774379	0.9708279486009509	0.9723917635012009	0.9854397792911257	0.9865513530278021	0.9557148806617457	0.9235560812949561	0.9732459576636161	0.9686606446879729	0.9191094692684926	0.970162777676905	0.9270782259258934	0.9890922283354383	0.9891579775875449	0.8649099251019746	0.8506846337752663	0.9770983462445555	0.9724125089954655	0.9189653918046181	0.859204661808107	0.8802796919335225	0.952863462737397	0.9722548931088978	0.9188775338701637	0.9722515045607699	0.9720266112703463	0.9783857435075626	0.9704758071159287	0.9714758424757677	0.9692669195012283	0.97927632318238	0.990881970646841	0.9690847066645537	0.9856113038165838	0.9889433116655858	0.9714660735338225	0.9702636148289563	0.978807205118961	0.9709365641958039	0.8470538109878974	0.9874790172222649	0.9851113919162614	0.9725334171353507	0.9898538672252046	0.9731498794528755	0.9737611661650464	0.979193039305276	0.9551269317375614	0.9705138680231588	0.954004139687233	0.9714841122992321	0.971539095265294	0.972583160707677	0.9849939636361599	0.9853768253803149	0.9709415608155338	0.9535500237635252	0.9715647793281212	0.9790935047653458	0.9713167049672329	0.97121636769665	0.9803855605447772	0.9693398232095359	0.9720351415670323
M11363	0.930833105852013	0.970838663183497	0.9728790537030418	0.97305321055827	0.9730203849589865	0.9178154669557971	0.9515579291692107	0.9521879966515826	0.9726947120626365	1.0	0.9720424419128919	0.9727331141688682	0.9754528836459265	0.9721838024333772	0.9734447065927252	0.9745082344666078	0.9736350649007068	0.9722032709949434	0.9734493177552304	0.9730891891567854	0.971569033903565	0.9520525021906339	0.9705331867065888	0.919322820365494	0.9725985497883327	0.9739964424558929	0.8660759805214211	0.9724089781648103	0.9189121281205171	0.9731455058015577	0.9699294657322813	0.9715220933437124	0.9723559623672348	0.971974567886406	0.9730413075277137	0.973157697707623	0.9198045539514562	0.9729401008195112	0.9708472068960963	0.9728316249349518	0.9726456771349968	0.9723951142369587	0.9736296014026027	0.9711344565736137	0.9731737117379748	0.9193577826555787	0.952160943419654	0.9527973754375185	0.9731473489738999	0.9780518339748622	0.9558166820272499	0.8663410481942362	0.971880510083151	0.9732843779945792	0.9718660356139834	0.9729588724047102	0.919849264799934	0.9729715414196607	0.9735744659297297	0.91627309942873	0.9172437479582192	0.9790660047052513	0.9188727553457776	0.9735209580555942	0.9750737355531397	0.9769414279556178	0.9730681518953093	0.9719660270297655	0.9538465570349459	0.9235717704914645	0.9771294156487289	0.9719816800468889	0.9193215326178648	0.9706710547314651	0.9265287423822866	0.973832227962247	0.9737607728713096	0.8647203004069016	0.8468633007942339	0.9734276419766252	0.976762969278635	0.9198172068159506	0.8599843863982493	0.8761163898093085	0.9499419684880266	0.977034635909124	0.9189635978873615	0.977045073646391	0.9743037524810109	0.9743518845224692	0.970639927611708	0.9716377616112863	0.9720213417284268	0.973363133955846	0.9733867558565433	0.9728520330776403	0.9729986269873466	0.9736175900489971	0.972163283768289	0.9705840384954357	0.9716758992362465	0.9731763781732574	0.8468179980109072	0.9733112061445501	0.974084655392797	0.972698905133701	0.9736942452933861	0.9939394038150579	0.977248443002092	0.9733539754532863	0.9527169469333545	0.9698652665751148	0.9520282691856293	0.9715203282045314	0.9722538547453443	0.9768653186291815	0.9729318600613185	0.9729974563872238	0.9728104210036066	0.9512643073408016	0.9722783527353639	0.97165371000083	0.9742761947904048	0.9743842164189817	0.9731805432646878	0.9734119438893308	0.9752309586126947
